名稱	位置	生命	物理攻擊	魔法攻擊	物理防禦	魔法防禦	物理暴擊	魔法暴擊	命中	迴避	生命吸收	TP減輕	TP上升	TP自回	HP自回	回復上升
莉瑪	1	35162	3802	20	686	427	58	0	6	6	8	6	8	23	2085	26
宮子	2	33716	4144	20	550	357	75	0	20	59	4	4	6	0	2185	46
空花	3	33467	3429	744	414	511	173	56	10	9	3	6	12	72	2935	64
純	4	38881	4165	20	486	328	105	0	12	18	11	6	10	54	1500	41
空花	5	32566	59	4052	474	532	0	56	0	9	0	20	8	20	1850	116
香織	6	20536	7868	0	247	151	468	0	49	18	9	15	46	270	2235	30
怜-新年	7	34079	4347	273	387	446	98	20	12	35	7	4	18	89	850	64
貪吃佩可	8	38755	4831	20	477	340	88	0	12	15	5	6	16	84	870	51
流夏	9	35421	4557	20	437	341	207	0	16	36	13	4	20	35	2475	63
望	10	33407	4544	20	473	398	88	0	22	20	11	4	10	79	1300	51
矛依未	11	24126	7380	0	234	186	446	0	69	7	11	0	24	287	2525	25
真琴	12	23263	7813	0	227	164	450	0	39	2	12	0	43	115	1280	49
かや	13	20536	7883	0	229	174	468	0	49	18	9	15	46	270	2235	30
日和-新年	14	21236	7886	0	233	174	473	0	49	18	9	15	46	270	2235	30
妮諾	15	22861	7701	0	216	168	454	0	35	27	9	0	18	212	4880	40
秋乃	16	26890	6814	0	284	214	304	0	32	15	14	0	23	159	505	45
真琴	17	23263	7977	0	223	164	450	0	39	2	12	0	43	115	1280	49
茉莉	18	31702	4974	20	443	363	218	0	10	12	20	4	7	77	2735	41
くろえ	19	21671	6988	0	264	181	385	0	50	40	9	0	14	187	4380	30
惠理子-情人節	20	22975	8333	13	211	145	357	0	33	2	6	0	25	130	1245	30
綾音-聖誕節	21	21443	8036	0	280	174	301	0	32	11	7	0	22	125	915	50
紡希	22	26620	6213	10	338	244	343	0	46	21	6	14	41	270	2615	32
日和	23	23725	7165	0	251	196	435	0	56	22	9	15	46	280	2045	20
禊	24	26480	5953	20	382	277	299	0	6	41	6	10	24	170	2685	59
綾音	25	25283	7287	0	287	209	305	0	32	9	11	0	19	150	915	50
みそぎ	26	20501	7967	0	240	169	458	0	49	18	9	15	46	270	2495	30
珠希	27	22413	6749	0	223	226	415	0	50	43	9	0	14	187	4380	30
智	28	23031	7810	0	216	162	444	0	57	5	12	0	32	260	1865	36
珠希-夏日	29	23518	7035	0	228	235	415	0	50	43	9	0	14	187	4380	30
惠理子	30	20871	8410	13	207	164	362	0	33	2	6	0	25	130	1245	30
貪吃佩可-夏日	31	30721	7593	0	277	156	265	0	57	5	9	0	28	214	900	30
胡桃	32	32195	5271	20	411	358	125	0	2	28	8	4	6	30	1045	61
吉塔	33	25341	7581	0	218	164	315	0	51	5	9	0	28	269	900	30
怜	34	26586	6926	0	270	227	290	0	42	7	17	0	26	164	1115	40
くりすてぃーな	35	24036	7919	0	221	169	264	0	41	3	9	0	28	424	900	30
靜流	36	32439	4835	10	483	339	108	0	12	22	12	6	15	79	1140	86
克莉絲提娜	37	25081	7696	0	239	146	264	0	41	3	9	0	28	424	900	30
胡桃-聖誕節	38	33432	4758	20	482	377	55	0	0	30	8	4	9	30	845	61
美美	39	24960	6820	0	281	208	279	0	43	24	10	0	18	138	815	50
